time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-16T01:18:53.970Z,17.9365,-66.9685,15.18,2.34,md,11,223,,0.09,pr,pr71340373,2022-03-16T01:37:11.420Z,"7 km WSW of Guánica, Puerto Rico",earthquake,0.47,0.64,0.0912652701758407,7,reviewed,pr,pr
2022-03-16T01:17:50.740Z,38.8170013,-122.7994995,3.32,0.84,md,14,46,0.009597,0.01,nc,nc73706236,2022-03-16T01:50:16.520Z,"6km NW of The Geysers, CA",earthquake,0.35,1.16,,1,automatic,nc,nc
2022-03-16T00:57:32.120Z,19.1590003967285,-155.459335327148,32.560001373291,1.79999995,md,30,155,,0.100000001,hv,hv72951552,2022-03-16T01:00:43.670Z,"5 km SSE of Pāhala, Hawaii",earthquake,0.65,0.949999988,0.419999987,5,automatic,hv,hv
2022-03-16T00:56:04.910Z,19.1474990844727,-155.460327148438,30.6399993896484,1.95000005,md,31,171,,0.129999995,hv,hv72951547,2022-03-16T00:59:15.640Z,"6 km SSE of Pāhala, Hawaii",earthquake,0.72,1.02999997,1.28999996,7,automatic,hv,hv
2022-03-16T00:51:13.150Z,38.8293333,-122.7976667,2.11,0.26,md,14,54,0.01072,0.02,nc,nc73706231,2022-03-16T05:00:17.664Z,"6km W of Cobb, CA",earthquake,0.38,0.56,0.281,2,reviewed,nc,nc
2022-03-16T00:39:08.462Z,-20.0281,-175.7177,214.81,5.4,mww,,83,6.134,1.22,us,us6000h4ww,2022-03-16T02:42:26.293Z,"134 km NNW of Nuku‘alofa, Tonga",earthquake,9.8,7.1,0.098,10,reviewed,us,us
2022-03-16T00:37:11.100Z,38.8294983,-122.7956696,1.79,0.85,md,14,57,0.009822,0.02,nc,nc73706221,2022-03-16T00:46:11.129Z,"6km W of Cobb, CA",earthquake,0.27,0.86,,1,automatic,nc,nc
2022-03-16T00:34:49.546Z,22.2223,120.7794,10,4.2,mb,,109,0.654,1.08,us,us6000h4wu,2022-03-16T04:23:33.007Z,"24 km N of Hengchun, Taiwan",earthquake,5.5,1.9,0.102,27,reviewed,us,us
2022-03-16T00:33:52.340Z,37.9641685,-121.7900009,4.79,2.32,md,15,163,0.3248,0.27,nc,nc73706216,2022-03-16T03:34:17.147Z,"5km SSE of Antioch, CA",earthquake,8.32,23.35,,1,automatic,nc,nc
2022-03-16T00:25:02.950Z,17.9391666666667,-66.8526666666667,19.08,2.16,md,6,214,,0.07,pr,pr71340368,2022-03-16T00:42:15.140Z,"5 km SE of Maria Antonia, Puerto Rico",earthquake,1.02,0.46,0.125638171256901,4,reviewed,pr,pr
2022-03-16T00:09:30.384Z,14.1159,119.2938,10,5.2,mww,,83,8.819,1,us,us6000h4wn,2022-03-16T00:29:12.040Z,"85 km WNW of Cabra, Philippines",earthquake,8.1,1.9,0.069,20,reviewed,us,us
2022-03-16T00:00:40.337Z,38.1227,-117.9961,11.7,1.2,ml,8,132.08,0.033,0.2841,nn,nn00835393,2022-03-16T00:04:35.273Z,"31 km SSE of Mina, Nevada",earthquake,,0.4,0.38,5,automatic,nn,nn
2022-03-15T23:54:03.710Z,57.8717,-157.4443,0,2.5,ml,,,,0.67,ak,ak0223ers8ek,2022-03-16T00:44:40.040Z,"35 km NNE of Pilot Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-03-15T23:30:46.590Z,38.8264999,-122.7961655,2.65,0.88,md,26,44,0.0113,0.02,nc,nc73706201,2022-03-15T23:52:11.822Z,"6km W of Cobb, CA",earthquake,0.21,0.43,0.15,5,automatic,nc,nc
2022-03-15T23:17:28.292Z,60.3448,-152.2582,88,2.5,ml,,,,0.55,ak,ak0223erkcte,2022-03-15T23:51:28.040Z,"46 km NW of Ninilchik, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-03-15T23:14:42.076Z,-24.0371,-67.2928,222.85,4.2,mb,,89,1.352,1.17,us,us6000h4wg,2022-03-15T23:42:47.040Z,"101 km WNW of San Antonio de los Cobres, Argentina",earthquake,12.8,13.8,0.373,2,reviewed,us,us
2022-03-15T23:08:27.880Z,17.9411666666667,-66.9623333333333,16.83,1.46,md,5,224,,0.16,pr,pr71340363,2022-03-16T00:26:37.260Z,"6 km WSW of Guánica, Puerto Rico",earthquake,1.12,1.4,0.058470459712364,3,reviewed,pr,pr
2022-03-15T23:03:56.137Z,-22.7312,-70.4868,36.31,4.4,mb,,140,0.289,0.79,us,us6000h4wc,2022-03-15T23:33:54.040Z,"76 km SSW of Tocopilla, Chile",earthquake,3.6,1.8,0.123,19,reviewed,us,us
2022-03-15T22:53:25.540Z,37.3541667,-118.5861667,9.22,1.19,md,17,115,0.01828,0.06,nc,nc73706196,2022-03-16T01:38:16.444Z,"7km S of Round Valley, CA",earthquake,0.29,0.49,0.17,15,reviewed,nc,nc
2022-03-15T22:08:22.180Z,35.825,-117.6473333,6.74,0.35,ml,11,85,0.04153,0.06,ci,ci39968823,2022-03-16T00:26:07.946Z,"23km N of Ridgecrest, CA",earthquake,0.17,0.38,0.057,5,reviewed,ci,ci
2022-03-15T22:01:23.000Z,44.6066667,-110.3143333,2.18,0.67,md,11,95,0.07771,0.18,uu,uu60485767,2022-03-15T22:34:09.350Z,"51 km SE of Mammoth, Wyoming",earthquake,0.44,11.34,0.553,9,reviewed,uu,uu
2022-03-15T22:01:20.370Z,38.821167,-122.8121643,2.82,1.07,md,29,41,0.00276,0.02,nc,nc73706191,2022-03-15T22:33:13.361Z,"7km NW of The Geysers, CA",earthquake,0.19,0.41,0.1,5,automatic,nc,nc
2022-03-15T21:58:21.271Z,38.1415,-118.2373,0.7,1.2,ml,10,182.4,0.218,0.1816,nn,nn00835391,2022-03-15T22:02:28.180Z,"29 km SSW of Mina, Nevada",earthquake,,35,0.47,6,automatic,nn,nn
2022-03-15T21:54:28.560Z,44.6123333,-110.3208333,5.19,0.73,md,7,120,0.07772,0.08,uu,uu60485762,2022-03-15T22:26:54.630Z,"50 km SE of Mammoth, Wyoming",earthquake,0.4,1.72,0.32,4,reviewed,uu,uu
2022-03-15T21:39:03.524Z,62.3763,-148.5238,25.5,2.1,ml,,,,0.76,ak,ak0223eqi5g5,2022-03-15T21:41:29.922Z,"Central Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-03-15T21:37:44.570Z,34.9995,-118.1925,-0.82,1.57,ml,12,79,0.1227,0.17,ci,ci39968799,2022-03-16T00:31:11.181Z,"6km SSW of Mojave, CA",quarry blast,0.44,31.61,0.181,30,reviewed,ci,ci
2022-03-15T21:37:32.820Z,39.235,-123.1935,5.44,1.82,md,30,63,0.06974,0.05,nc,nc73706186,2022-03-16T02:54:17.885Z,"4km SSE of Redwood Valley, CA",earthquake,0.13,0.46,0.114,26,reviewed,nc,nc
2022-03-15T21:33:53.953Z,-17.0442,41.0187,10,4.4,mb,,81,6.226,1.05,us,us6000h4ut,2022-03-15T22:11:17.040Z,"148 km SE of António Enes, Mozambique",earthquake,4.8,1.9,0.12,21,reviewed,us,us
2022-03-15T21:17:30.650Z,18.0583333333333,-66.8136666666667,21.03,2.19,md,6,133,,0.08,pr,pr71340353,2022-03-15T21:35:04.070Z,"4 km NE of Yauco, Puerto Rico",earthquake,0.51,1.09,0.149452100452956,4,reviewed,pr,pr
2022-03-15T21:12:06.340Z,44.0703333,-110.5601667,8.76,0.87,md,10,153,0.1015,0.18,uu,uu60485737,2022-03-15T22:38:49.200Z,"49 km N of Kelly, Wyoming",earthquake,0.81,1.56,0.344,6,reviewed,uu,uu
2022-03-15T21:04:28.470Z,35.8523333,-117.6631667,9.31,0.3,ml,7,119,0.06465,0.07,ci,ci39968767,2022-03-16T00:36:34.240Z,"24km ESE of Little Lake, CA",earthquake,0.45,1.19,0.105,4,reviewed,ci,ci
2022-03-15T21:00:44.535Z,63.4277,-150.1734,113.4,1.2,ml,,,,0.57,ak,ak0223eq9vta,2022-03-15T22:53:56.309Z,"61 km W of Cantwell, Alaska",earthquake,,0.2,,,reviewed,ak,ak
